element_num,depth,bounds,attributes,parent_num
0,0,"[0,0][0,0]","",
1,1,"[0,0][402,874]","accessibilityText=Flent Secured; enabled=true",0
2,2,"[0,0][402,874]","enabled=true",1
3,3,"[0,0][402,874]","enabled=true",2
4,4,"[0,0][402,874]","enabled=true",3
5,5,"[0,0][402,874]","enabled=true",4
6,6,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",5
7,7,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",6
8,8,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",7
9,9,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",8
10,10,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",9
11,11,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",10
12,12,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",11
13,13,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",12
14,14,"[0,0][402,874]","enabled=true",13
15,15,"[0,0][402,874]","enabled=true",14
16,16,"[0,0][402,874]","enabled=true",15
17,17,"[0,0][402,874]","enabled=true",16
18,18,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",17
19,19,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",18
20,20,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",19
21,21,"[0,0][402,874]","enabled=true",20
22,22,"[0,0][402,874]","enabled=true",21
23,23,"[0,0][402,874]","enabled=true",22
24,24,"[0,0][402,874]","enabled=true",23
25,25,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",24
26,26,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",25
27,27,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; resource-id=beta-splash-screen; enabled=true",26
28,28,"[0,0][402,874]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",27
29,29,"[0,62][402,840]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",28
30,30,"[0,62][402,840]","enabled=true",29
31,31,"[-458,-674][860,1672]","enabled=true",30
32,32,"[-458,-673][860,1672]","enabled=true",31
33,33,"[-458,-673][860,1672]","enabled=true",32
34,30,"[0,62][402,840]","accessibilityText=Flent logo BETA LAUNCH; enabled=true",29
35,31,"[184,411][217,451]","accessibilityText=Flent logo; enabled=true",34
36,32,"[184,411][217,451]","accessibilityText=Flent logo; enabled=true",35
37,33,"[184,411][217,451]","enabled=true",36
38,34,"[184,408][217,450]","enabled=true",37
39,35,"[184,408][217,450]","enabled=true",38
40,31,"[153,463][248,491]","accessibilityText=BETA LAUNCH; enabled=true",34
41,32,"[161,467][241,487]","accessibilityText=BETA LAUNCH; enabled=true",40
42,23,"[0,0][402,874]","enabled=true",22
43,24,"[0,0][402,874]","enabled=true",42
44,16,"[0,0][402,874]","enabled=true",15
45,17,"[0,0][402,874]","enabled=true",44
46,8,"[0,0][402,874]","enabled=true",7
47,9,"[0,0][402,874]","enabled=true",46
48,2,"[0,0][402,874]","enabled=true",1
49,3,"[0,0][402,874]","enabled=true",48
50,4,"[0,0][402,874]","enabled=true",49
51,1,"[0,0][0,0]","",0
52,2,"[0,0][402,54]","enabled=true",51
53,2,"[0,0][402,54]","enabled=true",51
54,3,"[0,0][402,54]","enabled=true",53
55,4,"[0,0][402,54]","enabled=true",54
56,5,"[53,22][95,42]","accessibilityText=1:43 AM; enabled=true",55
57,5,"[288,26][307,38]","accessibilityText=Mobile Service; value=No signal; text=No signal; enabled=true",55
58,5,"[315,26][332,38]","value=SSID, 3 of 3 Wi-Fi bars; text=SSID, 3 of 3 Wi-Fi bars; resource-id=3 of 3 Wi-Fi bars; enabled=true",55
59,5,"[339,26][366,39]","accessibilityText=100% battery power; value=Not charging; text=Not charging; enabled=true",55
